study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_accession,run_total_spots,run_total_bases
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107047,GSM6702089: RSB163-291 [Chlorocresol]; Homo sapiens; miRNA-Seq,GSM6702089: RSB163-291 [Chlorocresol]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702089,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609928,,SAMN31554821,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,621421,22917693,SRR22127266,621421,46606575
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107046,GSM6702088: RSB163-361 [CGI1746]; Homo sapiens; miRNA-Seq,GSM6702088: RSB163-361 [CGI1746]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702088,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609927,,SAMN31554822,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,625538,21784265,SRR22127267,625538,46915350
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107045,GSM6702087: RSB163-317 [Cetrimonium Bromide (CTAB)]; Homo sapiens; miRNA-Seq,GSM6702087: RSB163-317 [Cetrimonium Bromide (CTAB)]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702087,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609926,,SAMN31554823,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,600485,21410071,SRR22127268,600485,45036375
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107044,GSM6702086: RSB163-314 [Cepharanthine]; Homo sapiens; miRNA-Seq,GSM6702086: RSB163-314 [Cepharanthine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702086,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609925,,SAMN31554824,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,631979,22848904,SRR22127269,631979,47398425
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107043,GSM6702085: RSB163-267 [Carprofen]; Homo sapiens; miRNA-Seq,GSM6702085: RSB163-267 [Carprofen]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702085,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609924,,SAMN31554825,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,750303,26587113,SRR22127270,750303,56272725
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107042,GSM6702084: RSB163-60 [Carbimazole]; Homo sapiens; miRNA-Seq,GSM6702084: RSB163-60 [Carbimazole]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702084,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609923,,SAMN31554826,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,621370,22406949,SRR22127271,621370,46602750
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107041,GSM6702083: RSB163-322 [Bromfenac Sodium]; Homo sapiens; miRNA-Seq,GSM6702083: RSB163-322 [Bromfenac Sodium]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702083,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609922,,SAMN31554827,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,533205,19031572,SRR22127272,533205,39990375
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107040,GSM6702058: RSB163-39 [Amitriptyline HCl]; Homo sapiens; miRNA-Seq,GSM6702058: RSB163-39 [Amitriptyline HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702058,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609921,,SAMN31554852,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,836448,29830568,SRR22127273,836448,62733600
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107039,GSM6702057: RSB163-137 [Aminothiazole]; Homo sapiens; miRNA-Seq,GSM6702057: RSB163-137 [Aminothiazole]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702057,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609920,,SAMN31554853,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,736487,26633169,SRR22127274,736487,55236525
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107038,GSM6702056: RSB163-196 [Amidopyrine]; Homo sapiens; miRNA-Seq,GSM6702056: RSB163-196 [Amidopyrine]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702056,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609919,,SAMN31554854,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,720517,25746580,SRR22127275,720517,54038775
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107037,GSM6702055: RSB163-275 [Amfenac Sodium Monohydrate]; Homo sapiens; miRNA-Seq,GSM6702055: RSB163-275 [Amfenac Sodium Monohydrate]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702055,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609918,,SAMN31554855,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,1048747,38130510,SRR22127276,1048747,78656025
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107036,GSM6702054: RSB163-153 [Alizapride HCl]; Homo sapiens; miRNA-Seq,GSM6702054: RSB163-153 [Alizapride HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702054,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609916,,SAMN31554856,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,942599,33726613,SRR22127277,942599,70694925
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107035,GSM6702053: RSB163-40 [Adrenalone HCl]; Homo sapiens; miRNA-Seq,GSM6702053: RSB163-40 [Adrenalone HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702053,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609917,,SAMN31554857,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,433480,15520903,SRR22127278,433480,32511000
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107034,GSM6702052: RSB163-222 [Aclidinium Bromide]; Homo sapiens; miRNA-Seq,GSM6702052: RSB163-222 [Aclidinium Bromide]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702052,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609915,,SAMN31554858,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,685969,24484242,SRR22127279,685969,51447675
SRP405648,Small Molecule Inducers of Neuroprotective miR-132 Identified by HTS-HTS in Human iPSC-derived Neurons,SRX18107033,GSM6702051: RSB163-206 [Acebutolol HCl]; Homo sapiens; miRNA-Seq,GSM6702051: RSB163-206 [Acebutolol HCl]; Homo sapiens; miRNA-Seq,9606,Homo sapiens,GSM6702051,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,SRS15609914,,SAMN31554859,PRJNA896539,NextSeq 550,NextSeq 550,ILLUMINA,761125,27492742,SRR22127280,761125,57084375
