Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM6701771	"RSB241-376 [pc-Forskolin rep1-1]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106961"	SRX18106961	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701772	"RSB241-359 [pc-Forskolin rep1-2]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106962"	SRX18106962	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701773	"RSB241-375 [pc-Forskolin rep1-3]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106963"	SRX18106963	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701774	"RSB241-360 [pc-Forskolin rep1-4]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106964"	SRX18106964	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701775	"RSB241-7 [nc-DMSO rep1-1]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106965"	SRX18106965	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701776	"RSB241-25 [nc-DMSO rep1-2]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106966"	SRX18106966	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701777	"RSB241-24 [nc-DMSO rep1-3]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106967"	SRX18106967	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701778	"RSB241-11 [nc-DMSO rep1-4]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18106968"	SRX18106968	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701779	"RSB241-10 [nc-DMSO rep1-5]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107353"	SRX18107353	"Zhiyun Wei"	"Oct 19, 2023"
GSM6701780	"RSB241-26 [nc-DMSO rep1-6]"	"SRA"	"Homo sapiens"	1	GPL21697	GSE216991	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX18107354"	SRX18107354	"Zhiyun Wei"	"Oct 19, 2023"
