miRNA,n_SMBs,mean_signal_miRNA
hsa-let-7i-5p,3,1.740658869280064
hsa-miR-103a-3p,2,1.5536733354067018
hsa-let-7a-5p,2,1.227952737704962
hsa-let-7b-5p,2,1.1969921259326892
hsa-let-7f-5p,2,1.0483584392533412
hsa-miR-423-5p,2,1.0008503367852717
hsa-miR-122-5p,2,0.7638244974581584
hsa-miR-744-5p,2,0.6648751409517484
hsa-miR-486-5p,1,1.1773808168755477
hsa-miR-126-3p,1,1.0358847827017794
hsa-miR-30d-5p,1,1.035783417228715
hsa-miR-191-5p,1,0.75900569880839
hsa-miR-93-5p,1,0.6593872587779119
hsa-miR-146a-5p,1,0.6154159490037503
hsa-miR-16-5p,1,0.46065558515658883
hsa-miR-223-3p,1,0.41004570533341783
