miRNA name	pos:mut	SOD1_ALS-iPSC-miRNA-MN_1_trim	SOD1_ALS-iPSC-miRNA-MN_2_trim	SOD1_ALS-iPSC-miRNA-MN_1_trim (PM+1MM+2MM)	SOD1_ALS-iPSC-miRNA-MN_2_trim (PM+1MM+2MM)
hsa-let-7a-2-3p	PM	17.0	8.0	17.0	8.0
hsa-let-7a-3p	PM	463.0	174.0	464.0	176.0
hsa-let-7a-3p	8:AG	0.0	2.0	464.0	176.0
hsa-let-7a-3p	21:CT	1.0	0.0	464.0	176.0
hsa-let-7a-5p	PM	291797.0	79361.0	292730.0	79593.0
hsa-let-7a-5p	1:TC	1.0	0.0	292730.0	79593.0
hsa-let-7a-5p	10:AG	12.0	4.0	292730.0	79593.0
hsa-let-7a-5p	10:AT	6.0	1.0	292730.0	79593.0
hsa-let-7a-5p	11:GC	3.0	0.0	292730.0	79593.0
hsa-let-7a-5p	11:GT	5.0	1.0	292730.0	79593.0
hsa-let-7a-5p	13:TA	6.0	3.0	292730.0	79593.0
hsa-let-7a-5p	13:TC	9.0	5.0	292730.0	79593.0
hsa-let-7a-5p	13:TG	3.0	4.0	292730.0	79593.0
hsa-let-7a-5p	14:TA	7.0	0.0	292730.0	79593.0
hsa-let-7a-5p	14:TC	23.0	6.0	292730.0	79593.0
hsa-let-7a-5p	14:TG	1.0	2.0	292730.0	79593.0
hsa-let-7a-5p	15:GA	13.0	3.0	292730.0	79593.0
hsa-let-7a-5p	15:GC	11.0	0.0	292730.0	79593.0
hsa-let-7a-5p	15:GT	15.0	5.0	292730.0	79593.0
hsa-let-7a-5p	16:TA	8.0	1.0	292730.0	79593.0
hsa-let-7a-5p	17:AT	10.0	1.0	292730.0	79593.0
hsa-let-7a-5p	18:TA	8.0	4.0	292730.0	79593.0
hsa-let-7a-5p	18:TG	5.0	0.0	292730.0	79593.0
hsa-let-7a-5p	20:GC	1.0	2.0	292730.0	79593.0
hsa-let-7a-5p	20:GT	8.0	3.0	292730.0	79593.0
hsa-let-7a-5p	21:TA	6.0	4.0	292730.0	79593.0
hsa-let-7a-5p	21:TC	13.0	5.0	292730.0	79593.0
hsa-let-7a-5p	21:TG	3.0	0.0	292730.0	79593.0
hsa-let-7a-5p	22:TA	682.0	155.0	292730.0	79593.0
hsa-let-7a-5p	22:TC	16.0	7.0	292730.0	79593.0
hsa-let-7a-5p	22:TG	46.0	14.0	292730.0	79593.0
hsa-let-7a-5p	14:TA,22:TC	1.0	0.0	292730.0	79593.0
hsa-let-7a-5p	21:TA,22:TA	8.0	1.0	292730.0	79593.0
hsa-let-7a-5p	21:TA,22:TC	2.0	0.0	292730.0	79593.0
hsa-let-7a-5p	21:TA,22:TG	1.0	1.0	292730.0	79593.0
hsa-let-7b-3p	22:CA	3.0	0.0	74.0	21.0
hsa-let-7b-3p	22:CG	1.0	0.0	74.0	21.0
hsa-let-7b-3p	22:CT	70.0	21.0	74.0	21.0
hsa-let-7b-5p	PM	6151.0	3217.0	6207.0	3260.0
hsa-let-7b-5p	9:TC	2.0	0.0	6207.0	3260.0
hsa-let-7b-5p	13:TC	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	13:TG	0.0	1.0	6207.0	3260.0
hsa-let-7b-5p	15:GA	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	16:TA	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	20:GT	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	21:TG	4.0	0.0	6207.0	3260.0
hsa-let-7b-5p	22:TA	40.0	35.0	6207.0	3260.0
hsa-let-7b-5p	22:TC	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	22:TG	3.0	5.0	6207.0	3260.0
hsa-let-7b-5p	21:TA,22:TA	2.0	2.0	6207.0	3260.0
hsa-let-7c-3p	PM	259.0	48.0	260.0	48.0
hsa-let-7c-3p	20:TC,22:CT	1.0	0.0	260.0	48.0
hsa-let-7c-5p	PM	321788.0	116372.0	323587.0	117101.0
hsa-let-7c-5p	3:AG	1.0	0.0	323587.0	117101.0
hsa-let-7c-5p	9:TA	0.0	2.0	323587.0	117101.0
hsa-let-7c-5p	9:TC	10.0	2.0	323587.0	117101.0
hsa-let-7c-5p	10:AC	1.0	1.0	323587.0	117101.0
hsa-let-7c-5p	10:AG	12.0	6.0	323587.0	117101.0
hsa-let-7c-5p	10:AT	4.0	4.0	323587.0	117101.0
hsa-let-7c-5p	11:GC	2.0	2.0	323587.0	117101.0
