miRNA name	pos:mut	SOD1_ALS-iPSC-miRNA-MN_1_trim	SOD1_ALS-iPSC-miRNA-MN_2_trim	SOD1_ALS-iPSC-miRNA-MN_1_trim (PM+1MM+2MM)	SOD1_ALS-iPSC-miRNA-MN_2_trim (PM+1MM+2MM)
hsa-let-7a-5p	11:GC	3.0	0.0	292730.0	79593.0
hsa-let-7a-5p	11:GT	5.0	1.0	292730.0	79593.0
hsa-let-7a-5p	15:GA	13.0	3.0	292730.0	79593.0
hsa-let-7a-5p	15:GC	11.0	0.0	292730.0	79593.0
hsa-let-7a-5p	15:GT	15.0	5.0	292730.0	79593.0
hsa-let-7a-5p	20:GC	1.0	2.0	292730.0	79593.0
hsa-let-7a-5p	20:GT	8.0	3.0	292730.0	79593.0
hsa-let-7b-5p	15:GA	1.0	0.0	6207.0	3260.0
hsa-let-7b-5p	20:GT	1.0	0.0	6207.0	3260.0
hsa-let-7c-5p	11:GC	2.0	2.0	323587.0	117101.0
hsa-let-7c-5p	11:GT	2.0	3.0	323587.0	117101.0
hsa-let-7c-5p	12:GC	4.0	0.0	323587.0	117101.0
hsa-let-7c-5p	12:GT	11.0	2.0	323587.0	117101.0
hsa-let-7c-5p	15:GA	19.0	3.0	323587.0	117101.0
hsa-let-7c-5p	15:GC	11.0	6.0	323587.0	117101.0
hsa-let-7c-5p	15:GT	21.0	10.0	323587.0	117101.0
hsa-let-7c-5p	20:GA	15.0	4.0	323587.0	117101.0
hsa-let-7c-5p	20:GC	6.0	1.0	323587.0	117101.0
hsa-let-7c-5p	20:GT	16.0	8.0	323587.0	117101.0
hsa-let-7c-5p	20:GA,22:TA	1.0	0.0	323587.0	117101.0
hsa-let-7d-5p	11:GC	0.0	1.0	6554.0	2315.0
hsa-let-7d-5p	11:GT	1.0	0.0	6554.0	2315.0
hsa-let-7d-5p	12:GC	1.0	0.0	6554.0	2315.0
hsa-let-7d-5p	20:GA	1.0	0.0	6554.0	2315.0
hsa-let-7d-5p	20:GT	1.0	0.0	6554.0	2315.0
hsa-let-7e-5p	11:GA	3.0	0.0	88768.0	24656.0
hsa-let-7e-5p	11:GC	3.0	2.0	88768.0	24656.0
hsa-let-7e-5p	11:GT	1.0	1.0	88768.0	24656.0
hsa-let-7e-5p	12:GT	3.0	0.0	88768.0	24656.0
hsa-let-7e-5p	15:GA	5.0	2.0	88768.0	24656.0
hsa-let-7e-5p	15:GC	5.0	0.0	88768.0	24656.0
hsa-let-7e-5p	15:GT	6.0	2.0	88768.0	24656.0
hsa-let-7e-5p	20:GC	1.0	0.0	88768.0	24656.0
hsa-let-7e-5p	20:GT	4.0	0.0	88768.0	24656.0
hsa-let-7e-5p	11:GA,22:TA	1.0	0.0	88768.0	24656.0
hsa-let-7e-5p	20:GA,21:TA	6.0	3.0	88768.0	24656.0
hsa-let-7e-5p	20:GA,22:TA	3.0	0.0	88768.0	24656.0
hsa-let-7e-5p	20:GT,21:TA	1.0	0.0	88768.0	24656.0
hsa-let-7e-5p	20:GT,22:TA	1.0	0.0	88768.0	24656.0
hsa-let-7f-5p	11:GA	1.0	0.0	141016.0	40624.0
hsa-let-7f-5p	11:GC	0.0	1.0	141016.0	40624.0
hsa-let-7f-5p	11:GT	8.0	0.0	141016.0	40624.0
hsa-let-7f-5p	15:GA	6.0	2.0	141016.0	40624.0
hsa-let-7f-5p	15:GC	4.0	0.0	141016.0	40624.0
hsa-let-7f-5p	15:GT	7.0	2.0	141016.0	40624.0
