miRNA name	pos:mut	second_trim_rCMC_cont_IP	second_trim_rCMC_PE_IP	second_trim_rCMC_cont_IP (PM+1MM+2MM)	second_trim_rCMC_PE_IP (PM+1MM+2MM)
mmu-let-7a-2-3p	PM	5.0	5.0	8.0	9.0
mmu-let-7a-2-3p	3:GA,7:AG	3.0	2.0	8.0	9.0
mmu-let-7a-2-3p	8:GA,12:CT	0.0	2.0	8.0	9.0
mmu-let-7a-5p	PM	609219.0	1293551.0	612894.0	1301194.0
mmu-let-7a-5p	1:TC	62.0	106.0	612894.0	1301194.0
mmu-let-7a-5p	1:TG	5.0	11.0	612894.0	1301194.0
mmu-let-7a-5p	2:GA	67.0	117.0	612894.0	1301194.0
mmu-let-7a-5p	2:GC	50.0	96.0	612894.0	1301194.0
mmu-let-7a-5p	2:GT	158.0	281.0	612894.0	1301194.0
mmu-let-7a-5p	3:AC	7.0	6.0	612894.0	1301194.0
mmu-let-7a-5p	3:AG	49.0	96.0	612894.0	1301194.0
mmu-let-7a-5p	3:AT	49.0	103.0	612894.0	1301194.0
mmu-let-7a-5p	4:GA	27.0	82.0	612894.0	1301194.0
mmu-let-7a-5p	4:GC	24.0	56.0	612894.0	1301194.0
mmu-let-7a-5p	4:GT	145.0	264.0	612894.0	1301194.0
mmu-let-7a-5p	5:GA	31.0	60.0	612894.0	1301194.0
mmu-let-7a-5p	5:GC	9.0	21.0	612894.0	1301194.0
mmu-let-7a-5p	5:GT	74.0	131.0	612894.0	1301194.0
mmu-let-7a-5p	6:TA	36.0	80.0	612894.0	1301194.0
mmu-let-7a-5p	6:TC	51.0	105.0	612894.0	1301194.0
mmu-let-7a-5p	6:TG	3.0	6.0	612894.0	1301194.0
mmu-let-7a-5p	7:AC	7.0	6.0	612894.0	1301194.0
mmu-let-7a-5p	7:AG	69.0	122.0	612894.0	1301194.0
mmu-let-7a-5p	7:AT	42.0	79.0	612894.0	1301194.0
mmu-let-7a-5p	8:GA	33.0	51.0	612894.0	1301194.0
mmu-let-7a-5p	8:GC	30.0	68.0	612894.0	1301194.0
mmu-let-7a-5p	8:GT	116.0	269.0	612894.0	1301194.0
mmu-let-7a-5p	10:AC	5.0	8.0	612894.0	1301194.0
mmu-let-7a-5p	10:AG	49.0	121.0	612894.0	1301194.0
mmu-let-7a-5p	10:AT	50.0	83.0	612894.0	1301194.0
mmu-let-7a-5p	11:GC	36.0	66.0	612894.0	1301194.0
mmu-let-7a-5p	11:GT	145.0	341.0	612894.0	1301194.0
mmu-let-7a-5p	13:TA	51.0	100.0	612894.0	1301194.0
mmu-let-7a-5p	13:TC	72.0	158.0	612894.0	1301194.0
