"Name","Accession","Chromosome","Start","End","Strand","Confidence"
"mmu-mir-1a-1","MI0000139","chr2","180389048","180389124","+","High"
"mmu-mir-1b","MI0000258","","","","","-"
"mmu-mir-1a-2","MI0000652","chr18","10785481","10785552","-","High"
"mmu-mir-1b","MI0006283","chr18","10785446","10785567","+","High"
"mmu-miR-1a-3p","MIMAT0000123","","","","",""
"mmu-miR-1b-5p","MIMAT0005835","","","","",""
"mmu-miR-1a-1-5p","MIMAT0016979","","","","",""
"mmu-miR-1a-2-5p","MIMAT0017047","","","","",""
"mmu-miR-1b-3p","MIMAT0017326","","","","",""
"mmu-mir-7a-1","MI0000728","chr13","58392779","58392886","-","High"
"mmu-mir-7a-2","MI0000729","chr7","78888277","78888373","+","High"
"mmu-mir-7b","MI0000730","chr17","56242988","56243098","+","High"
"mmu-miR-7a-5p","MIMAT0000677","","","","",""
"mmu-miR-7b-5p","MIMAT0000678","","","","",""
"mmu-miR-7a-1-3p","MIMAT0004670","","","","",""
"mmu-miR-7a-2-3p","MIMAT0017070","","","","",""
"mmu-miR-7b-3p","MIMAT0017071","","","","",""
"mmu-mir-9-2","MI0000157","chr13","83738814","83738885","+","High"
"mmu-mir-9-1","MI0000720","chr3","88215598","88215686","+","High"
"mmu-mir-9-3","MI0000721","chr7","79505264","79505353","+","High"
"mmu-mir-9b-2","MI0040624","chr13","83738821","83738876","-","-"
"mmu-mir-9b-1","MI0040640","chr3","88215613","88215670","-","-"
"mmu-mir-9b-3","MI0040649","chr7","79505279","79505336","-","-"
"mmu-miR-9-5p","MIMAT0000142","","","","",""
"mmu-miR-9-3p","MIMAT0000143","","","","",""
"mmu-miR-9b-5p","MIMAT0049835","","","","",""
"mmu-miR-9b-3p","MIMAT0049836","","","","",""
"mmu-mir-10b","MI0000221","chr2","74726070","74726137","+","-"
"mmu-mir-10a","MI0000685","chr11","96317165","96317274","+","High"
"mmu-mir-10a-2","MI0000686","","","","","-"
"mmu-miR-10b-5p","MIMAT0000208","","","","",""
"mmu-miR-10a-5p","MIMAT0000648","","","","",""
"mmu-miR-10b-3p","MIMAT0004538","","","","",""
"mmu-miR-10a-3p","MIMAT0004659","","","","",""
"mmu-mir-15b","MI0000140","chr3","69009772","69009835","+","High"
"mmu-mir-15a","MI0000564","chr14","61632027","61632110","-","High"
"mmu-miR-15b-5p","MIMAT0000124","","","","",""
"mmu-miR-15a-5p","MIMAT0000526","","","","",""
"mmu-miR-15b-3p","MIMAT0004521","","","","",""
"mmu-miR-15a-3p","MIMAT0004624","","","","",""
"mmu-mir-16-1","MI0000565","chr14","61631880","61631972","-","High"
"mmu-mir-16-2","MI0000566","chr3","69009902","69009996","+","High"
"mmu-miR-16-5p","MIMAT0000527","","","","",""
"mmu-miR-16-1-3p","MIMAT0004625","","","","",""
"mmu-miR-16-2-3p","MIMAT0017018","","","","",""
"mmu-mir-17","MI0000687","chr14","115043671","115043754","+","High"
"mmu-miR-17-5p","MIMAT0000649","","","","",""
"mmu-miR-17-3p","MIMAT0000650","","","","",""
"mmu-mir-18a","MI0000567","chr14","115043851","115043946","+","High"
"mmu-mir-18b","MI0005483","chrX","52742331","52742413","-","High"
"mmu-miR-18a-5p","MIMAT0000528","","","","",""
"mmu-miR-18a-3p","MIMAT0004626","","","","",""
"mmu-miR-18b-5p","MIMAT0004858","","","","",""
"mmu-miR-18b-3p","MIMAT0017270","","","","",""
"mmu-mir-19b-2","MI0000546","chrX","52741983","52742066","-","High"
"mmu-mir-19a","MI0000688","chr14","115044000","115044081","+","High"
"mmu-mir-19b-1","MI0000718","chr14","115044305","115044391","+","High"
"mmu-miR-19b-3p","MIMAT0000513","","","","",""
"mmu-miR-19a-3p","MIMAT0000651","","","","",""
"mmu-miR-19a-5p","MIMAT0004660","","","","",""
"mmu-miR-19b-2-5p","MIMAT0017010","","","","",""
"mmu-miR-19b-1-5p","MIMAT0017065","","","","",""
"mmu-mir-20a","MI0000568","chr14","115044157","115044263","+","High"
"mmu-mir-20b","MI0003536","chrX","52742113","52742192","-","High"
"mmu-miR-20a-5p","MIMAT0000529","","","","",""
"mmu-miR-20b-5p","MIMAT0003187","","","","",""
"mmu-miR-20a-3p","MIMAT0004627","","","","",""
"mmu-miR-20b-3p","MIMAT0004788","","","","",""
"mmu-mir-21a","MI0000569","chr11","86584067","86584158","-","High"
"mmu-mir-21b","MI0021906","chr3","29636744","29636851","+","-"
"mmu-mir-21c","MI0021932","chr8","128278148","128278225","-","-"
"mmu-miR-21a-5p","MIMAT0000530","","","","",""
"mmu-miR-21a-3p","MIMAT0004628","","","","",""
"mmu-miR-21b","MIMAT0025121","","","","",""
"mmu-miR-21c","MIMAT0025148","","","","",""
"mmu-mir-22","MI0000570","chr11","75463716","75463810","+","High"
"mmu-miR-22-3p","MIMAT0000531","","","","",""
"mmu-miR-22-5p","MIMAT0004629","","","","",""
"mmu-mir-23b","MI0000141","chr13","63300484","63300557","+","High"
"mmu-mir-23a","MI0000571","chr8","84208518","84208592","+","High"
"mmu-miR-23b-3p","MIMAT0000125","","","","",""
"mmu-miR-23a-3p","MIMAT0000532","","","","",""
"mmu-miR-23b-5p","MIMAT0016980","","","","",""
"mmu-miR-23a-5p","MIMAT0017019","","","","",""
"mmu-mir-24-1","MI0000231","chr13","63301208","63301275","+","High"
"mmu-mir-24-2","MI0000572","chr8","84208815","84208921","+","High"
"mmu-miR-24-1-5p","MIMAT0000218","","","","",""
"mmu-miR-24-3p","MIMAT0000219","","","","",""
"mmu-miR-24-2-5p","MIMAT0005440","","","","",""
"mmu-mir-25","MI0000689","chr5","138165321","138165404","-","High"
"mmu-miR-25-3p","MIMAT0000652","","","","",""
"mmu-miR-25-5p","MIMAT0017049","","","","",""
"mmu-mir-26a-1","MI0000573","chr9","119031796","119031885","+","High"
"mmu-mir-26a-2","MI0000574","","","","","-"
"mmu-mir-26b","MI0000575","chr1","74394310","74394394","+","High"
"mmu-mir-26a-2","MI0000706","chr10","126995530","126995613","+","High"
"mmu-miR-26a-5p","MIMAT0000533","","","","",""
"mmu-miR-26b-5p","MIMAT0000534","","","","",""
"mmu-miR-26b-3p","MIMAT0004630","","","","",""
"mmu-miR-26a-1-3p","MIMAT0017020","","","","",""
"mmu-miR-26a-2-3p","MIMAT0017058","","","","",""
"mmu-mir-27b","MI0000142","chr13","63300712","63300784","+","High"
"mmu-mir-27a","MI0000578","chr8","84208672","84208758","+","High"
"mmu-miR-27b-3p","MIMAT0000126","","","","",""
"mmu-miR-27a-3p","MIMAT0000537","","","","",""
"mmu-miR-27b-5p","MIMAT0004522","","","","",""
"mmu-miR-27a-5p","MIMAT0004633","","","","",""
"mmu-mir-28a","MI0000690","chr16","24827855","24827940","+","High"
"mmu-mir-28c","MI0016966","chr15","53614205","53614279","-","-"
"mmu-mir-28b","MI0016979","chr8","73016512","73016591","+","-"
"mmu-miR-28a-5p","MIMAT0000653","","","","",""
"mmu-miR-28a-3p","MIMAT0004661","","","","",""
"mmu-miR-28c","MIMAT0019339","","","","",""
"mmu-miR-28b","MIMAT0019354","","","","",""
"mmu-mir-29b-1","MI0000143","chr6","31063023","31063093","-","High"
"mmu-mir-29a","MI0000576","chr6","31062660","31062747","-","High"
"mmu-mir-29c","MI0000577","chr1","195037547","195037634","+","-"
"mmu-mir-29b-2","MI0000712","chr1","195037040","195037120","+","High"
"mmu-miR-29b-3p","MIMAT0000127","","","","",""
"mmu-miR-29a-3p","MIMAT0000535","","","","",""
"mmu-miR-29c-3p","MIMAT0000536","","","","",""
"mmu-miR-29b-1-5p","MIMAT0004523","","","","",""
"mmu-miR-29a-5p","MIMAT0004631","","","","",""
"mmu-miR-29c-5p","MIMAT0004632","","","","",""
"mmu-miR-29b-2-5p","MIMAT0017063","","","","",""
"mmu-mir-30a","MI0000144","chr1","23272269","23272339","+","High"
"mmu-mir-30b","MI0000145","chr15","68337415","68337510","-","High"
"mmu-mir-30e","MI0000259","chr4","120772606","120772697","-","High"
"mmu-mir-30c-1","MI0000547","chr4","120769534","120769622","-","High"
"mmu-mir-30c-2","MI0000548","chr1","23291701","23291784","+","High"
"mmu-mir-30d","MI0000549","chr15","68341208","68341289","-","High"
"mmu-mir-30f","MI0021961","chr4","120772606","120772697","+","-"
"mmu-miR-30a-5p","MIMAT0000128","","","","",""
"mmu-miR-30a-3p","MIMAT0000129","","","","",""
"mmu-miR-30b-5p","MIMAT0000130","","","","",""
"mmu-miR-30e-5p","MIMAT0000248","","","","",""
"mmu-miR-30e-3p","MIMAT0000249","","","","",""
"mmu-miR-30c-5p","MIMAT0000514","","","","",""
"mmu-miR-30d-5p","MIMAT0000515","","","","",""
"mmu-miR-30b-3p","MIMAT0004524","","","","",""
"mmu-miR-30c-1-3p","MIMAT0004616","","","","",""
"mmu-miR-30c-2-3p","MIMAT0005438","","","","",""
"mmu-miR-30d-3p","MIMAT0017011","","","","",""
"mmu-miR-30f","MIMAT0025179","","","","",""
"mmu-mir-31","MI0000579","chr4","88910557","88910662","-","High"
"mmu-miR-31-5p","MIMAT0000538","","","","",""
"mmu-miR-31-3p","MIMAT0004634","","","","",""
"mmu-mir-32","MI0000691","chr4","56895229","56895298","-","High"
"mmu-miR-32-5p","MIMAT0000654","","","","",""
"mmu-miR-32-3p","MIMAT0017050","","","","",""
"mmu-mir-33","MI0000707","chr15","82198122","82198190","+","High"
"mmu-miR-33-5p","MIMAT0000667","","","","",""
"mmu-miR-33-3p","MIMAT0004666","","","","",""
"mmu-mir-34c","MI0000403","chr9","51103034","51103110","-","High"
"mmu-mir-34b","MI0000404","chr9","51103562","51103645","-","High"
"mmu-mir-34a","MI0000584","chr4","150068454","150068555","+","High"
"mmu-miR-34c-5p","MIMAT0000381","","","","",""
"mmu-miR-34b-5p","MIMAT0000382","","","","",""
"mmu-miR-34a-5p","MIMAT0000542","","","","",""
"mmu-miR-34c-3p","MIMAT0004580","","","","",""
"mmu-miR-34b-3p","MIMAT0004581","","","","",""
"mmu-miR-34a-3p","MIMAT0017022","","","","",""
"mmu-mir-92a-2","MI0000580","chrX","52741838","52741928","-","High"
"mmu-mir-92a-1","MI0000719","chr14","115044427","115044506","+","High"
"mmu-mir-92b","MI0005521","chr3","89227116","89227198","-","High"
"mmu-miR-92a-3p","MIMAT0000539","","","","",""
"mmu-miR-92a-2-5p","MIMAT0004635","","","","",""
"mmu-miR-92b-3p","MIMAT0004899","","","","",""
"mmu-miR-92a-1-5p","MIMAT0017066","","","","",""
"mmu-miR-92b-5p","MIMAT0017278","","","","",""
"mmu-mir-93","MI0000581","chr5","138165523","138165610","-","High"
"mmu-miR-93-5p","MIMAT0000540","","","","",""
"mmu-miR-93-3p","MIMAT0004636","","","","",""
"mmu-mir-96","MI0000583","chr6","30169446","30169551","-","High"
"mmu-miR-96-5p","MIMAT0000541","","","","",""
"mmu-miR-96-3p","MIMAT0017021","","","","",""
"mmu-mir-98","MI0000586","chrX","151913214","151913321","+","High"
"mmu-miR-98-5p","MIMAT0000545","","","","",""
"mmu-miR-98-3p","MIMAT0017023","","","","",""
"mmu-mir-99a","MI0000146","chr16","77598936","77599000","+","High"
"mmu-mir-99b","MI0000147","chr17","17830188","17830257","+","High"
"mmu-miR-99a-5p","MIMAT0000131","","","","",""
"mmu-miR-99b-5p","MIMAT0000132","","","","",""
"mmu-miR-99b-3p","MIMAT0004525","","","","",""
"mmu-miR-99a-3p","MIMAT0016981","","","","",""
"mmu-mir-100","MI0000692","chr9","41531425","41531504","+","High"
"mmu-miR-100-5p","MIMAT0000655","","","","",""
"mmu-miR-100-3p","MIMAT0017051","","","","",""
"mmu-mir-101a","MI0000148","chr4","101346945","101347027","-","High"
"mmu-mir-101b","MI0000649","chr19","29135279","29135375","+","High"
"mmu-mir-101c","MI0016974","chr9","3038669","3038743","-","-"
"mmu-miR-101a-3p","MIMAT0000133","","","","",""
"mmu-miR-101b-3p","MIMAT0000616","","","","",""
"mmu-miR-101a-5p","MIMAT0004526","","","","",""
"mmu-miR-101b-5p","MIMAT0017046","","","","",""
"mmu-miR-101c","MIMAT0019349","","","","",""
"mmu-mir-103-1","MI0000587","chr11","35782396","35782481","+","High"
"mmu-mir-103-2","MI0000588","chr2","131288052","131288137","+","High"
"mmu-miR-103-3p","MIMAT0000546","","","","",""
"mmu-miR-103-1-5p","MIMAT0017024","","","","",""
"mmu-miR-103-2-5p","MIMAT0017025","","","","",""
"mmu-mir-105","MI0005481","chrX","72591500","72591579","-","-"
"mmu-miR-105","MIMAT0004856","","","","",""
"mmu-mir-106a","MI0000406","chrX","52742503","52742567","-","High"
"mmu-mir-106b","MI0000407","chr5","138165737","138165818","-","High"
"mmu-miR-106a-5p","MIMAT0000385","","","","",""
"mmu-miR-106b-5p","MIMAT0000386","","","","",""
"mmu-miR-106b-3p","MIMAT0004582","","","","",""
"mmu-miR-106a-3p","MIMAT0017009","","","","",""
"mmu-mir-107","MI0000684","chr19","34820687","34820773","-","High"
"mmu-miR-107-3p","MIMAT0000647","","","","",""
"mmu-miR-107-5p","MIMAT0017048","","","","",""
