miRNA name	pos:mut	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_1	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_1	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_1	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_2	trimmed_control-iPSC_derived-miRNA-MN_3	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_3	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_SOD1_ALS-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_1 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_2 (PM+1MM+2MM)	trimmed_control-iPSC_derived-miRNA-MN_3 (PM+1MM+2MM)	trimmed_TDP43_ALS-iPSC_derived-miRNA-MN_3 (PM+1MM+2MM)
hsa-let-7a-2-3p	PM	17.0	8.0	12.0	20.0	18.0	12.0	20.0	7.0	17.0	8.0	12.0	20.0	18.0	12.0	20.0	7.0
hsa-let-7a-3p	PM	462.0	173.0	167.0	123.0	116.0	157.0	53.0	40.0	463.0	175.0	168.0	123.0	116.0	157.0	53.0	40.0
hsa-let-7a-3p	8:AG	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	463.0	175.0	168.0	123.0	116.0	157.0	53.0	40.0
hsa-let-7a-3p	18:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	463.0	175.0	168.0	123.0	116.0	157.0	53.0	40.0
hsa-let-7a-3p	21:CT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463.0	175.0	168.0	123.0	116.0	157.0	53.0	40.0
hsa-let-7a-5p	PM	289499.0	78674.0	198174.0	90638.0	84457.0	204283.0	102802.0	47186.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	10:AC	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	10:AG	12.0	4.0	5.0	3.0	2.0	9.0	2.0	2.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	10:AT	6.0	1.0	2.0	2.0	3.0	2.0	2.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	11:GC	3.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	11:GT	5.0	1.0	6.0	2.0	2.0	2.0	3.0	2.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TA	6.0	3.0	4.0	2.0	1.0	5.0	1.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TC	9.0	5.0	5.0	5.0	1.0	14.0	5.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	13:TG	3.0	4.0	0.0	0.0	4.0	2.0	0.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	14:TA	7.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	14:TC	22.0	6.0	13.0	8.0	11.0	33.0	6.0	1.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	14:TG	1.0	2.0	2.0	0.0	0.0	4.0	1.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	15:GA	12.0	3.0	17.0	9.0	4.0	16.0	4.0	4.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
hsa-let-7a-5p	15:GC	11.0	0.0	4.0	1.0	2.0	4.0	3.0	0.0	290403.0	78900.0	198678.0	90891.0	84677.0	204899.0	103002.0	47254.0
