miRNA name	pos:mut	trimmed_NGN2_Nicotinamide_Vitamin_B3_SRR22128557	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727	trimmed_NGN2_Fluorouracil_5-Fluoracil_5-FU_SRR22128317	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732	trimmed_NGN2_Vitamin_D2_SRR22128243	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729	trimmed_NGN2_Nicotinamide_Vitamin_B3_SRR22128557 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727 (PM+1MM+2MM)	trimmed_NGN2_Fluorouracil_5-Fluoracil_5-FU_SRR22128317 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732 (PM+1MM+2MM)	trimmed_NGN2_Vitamin_D2_SRR22128243 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729 (PM+1MM+2MM)
hsa-let-7a-5p	PM	197.0	3.0	211.0	1.0	0.0	7.0	0.0	0.0	1.0	199.0	3.0	211.0	1.0	0.0	7.0	0.0	0.0	1.0
hsa-let-7a-5p	8:GA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	3.0	211.0	1.0	0.0	7.0	0.0	0.0	1.0
hsa-let-7a-5p	22:TA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	3.0	211.0	1.0	0.0	7.0	0.0	0.0	1.0
hsa-let-7b-5p	PM	0.0	0.0	39.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-let-7b-5p	11:GT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-let-7b-5p	16:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-let-7c-5p	PM	7.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	1.0
hsa-let-7d-5p	PM	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7d-5p	18:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7e-5p	PM	600.0	25.0	744.0	7.0	1.0	18.0	1.0	5.0	7.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	10:AT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	15:GC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	16:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	18:TA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	21:TC	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	22:TA	10.0	1.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7e-5p	22:TG	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	26.0	772.0	7.0	1.0	18.0	1.0	5.0	7.0
hsa-let-7f-5p	PM	62.0	0.0	74.0	0.0	0.0	2.0	0.0	0.0	0.0	62.0	0.0	74.0	0.0	0.0	2.0	0.0	0.0	0.0
hsa-let-7g-5p	PM	31.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7g-5p	14:TG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7i-5p	PM	15.0	1.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7i-5p	22:TA	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-5p	PM	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-101-3p	PM	32.0	1.0	42.0	0.0	0.0	2.0	0.0	0.0	0.0	33.0	1.0	42.0	0.0	0.0	2.0	0.0	0.0	0.0
hsa-miR-101-3p	21:AT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	1.0	42.0	0.0	0.0	2.0	0.0	0.0	0.0
hsa-miR-10395-3p	PM	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-10395-5p	PM	1.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-103a-2-5p	16:CT	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-103a-3p	PM	558.0	13.0	1041.0	8.0	3.0	24.0	1.0	7.0	11.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	5:GA	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	9:TA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	13:CT	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	14:AG	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	20:AG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	23:AC	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	23:AT	91.0	1.0	129.0	0.0	0.0	1.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-103a-3p	14:AG,23:AT	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	654.0	16.0	1172.0	8.0	3.0	26.0	1.0	7.0	12.0
hsa-miR-10400-5p	12:GA,19:GA	20.0	1.0	10.0	0.0	0.0	1.0	0.0	1.0	2.0	20.0	1.0	10.0	0.0	0.0	1.0	0.0	1.0	2.0
hsa-miR-10401-5p	PM	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-105-3p	22:AT	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-105-5p	PM	10.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
